,mat_comp_h11,proj_spc_h11,eng_feat_h11,combined_h11,mat_comp_h21,proj_spc_h21,eng_feat_h21,combined_h21
colsample_bytree,0.4228428836243129,0.48235724101420807,0.1,0.5753968479837293,1.0,0.1,1.0,1.0
learning_rate,0.06240035151247986,0.0013865542134566535,0.1,0.02459802644197244,0.1,0.006831676076852026,0.1,0.0450759772024088
max_depth,25.0,21.0,25.0,23.0,25.0,2.0,25.0,17.0
min_child_weight,0.1,0.001,0.02619515402080305,0.0010390004258262568,0.005989509423675861,0.0027613635498211346,0.0014347207681221306,0.007781547143450128
n_estimators,4000.0,100.0,4000.0,4000.0,4000.0,4000.0,4000.0,2754.0
num_leaves,25.0,25.0,17.0,25.0,17.0,2.0,22.0,18.0
reg_alpha,0.13789300877524127,6.699314044715608,0.1,2.3962556430208726,1.1921818200535514,0.1,0.12156984906053106,2.7833302877650334
reg_lambda,0.9093521579955716,100.0,0.1,0.1,0.1,0.7060942486603716,0.1,3.338758153885243
subsample,0.9459615901683873,0.99,0.99,0.8729509163916549,0.99,0.1,0.99,0.729712603612781
